user_id,name,city,age_group,account_age_days,kyc_status,registration_date
USR00001,Jai Walia,Surat,18-25,1156,Minimal KYC,2023-04-14
USR00002,Aahana Choudhury,Mumbai,36-45,1324,Minimal KYC,2022-10-28
USR00003,Udant Mahajan,Hyderabad,26-35,1754,Full KYC,2021-08-24
USR00004,Kashvi Sastry,Bangalore,18-25,151,Full KYC,2026-01-13
USR00005,Adweta Wable,Surat,60+,360,Full KYC,2025-06-18
USR00006,Nisha Sehgal,Delhi,60+,1426,Full KYC,2022-07-18
USR00007,Yatin Trivedi,Kolkata,18-25,1717,Minimal KYC,2021-09-30
USR00008,Shivani Chhabra,Mumbai,18-25,1362,Non-KYC,2022-09-20
USR00009,Bhavani Ramachandran,Hyderabad,26-35,1545,Non-KYC,2022-03-21
USR00010,Azad Som,Jaipur,60+,415,Full KYC,2025-04-24
USR00011,Xalak Hora,Mumbai,60+,306,Full KYC,2025-08-11
USR00012,Indali Swaminathan,Hyderabad,60+,1367,Full KYC,2022-09-15
USR00013,Hemal Kurian,Kolkata,26-35,777,Full KYC,2024-04-27
USR00014,Ishwar Sankar,Ahmedabad,60+,504,Full KYC,2025-01-25
USR00015,Ayushman Desai,Pune,18-25,1735,Full KYC,2021-09-12
USR00016,Harshil Sharma,Kanpur,26-35,729,Full KYC,2024-06-14
USR00017,Ekaja Andra,Lucknow,46-60,219,Full KYC,2025-11-06
USR00018,Zayan Dani,Chennai,36-45,987,Full KYC,2023-09-30
USR00019,Ojas Thakkar,Bangalore,26-35,1620,Non-KYC,2022-01-05
USR00020,Oni Pall,Kanpur,36-45,1558,Full KYC,2022-03-08
USR00021,Dipta Bakshi,Delhi,18-25,676,Full KYC,2024-08-06
USR00022,Yashica Ramesh,Kolkata,18-25,196,Full KYC,2025-11-29
USR00023,Deepa Andra,Chennai,36-45,630,Non-KYC,2024-09-21
USR00024,Onkar Jha,Nagpur,36-45,271,Full KYC,2025-09-15
USR00025,Arunima Varghese,Kanpur,18-25,1399,Full KYC,2022-08-14
USR00026,Bimala Setty,Lucknow,46-60,1393,Full KYC,2022-08-20
USR00027,Sai Sundaram,Jaipur,18-25,985,Full KYC,2023-10-02
USR00028,Idika Uppal,Indore,46-60,538,Minimal KYC,2024-12-22
USR00029,Watika Desai,Delhi,60+,64,Non-KYC,2026-04-10
USR00030,Darpan Cherian,Pune,60+,1615,Minimal KYC,2022-01-10
USR00031,Nikita Rana,Indore,36-45,1055,Full KYC,2023-07-24
USR00032,Jackson Chada,Nagpur,26-35,595,Full KYC,2024-10-26
USR00033,Hema Butala,Lucknow,18-25,1530,Non-KYC,2022-04-05
USR00034,Raagini Choudhry,Mumbai,26-35,759,Full KYC,2024-05-15
USR00035,Abha Khanna,Kanpur,36-45,231,Minimal KYC,2025-10-25
USR00036,Janaki Pal,Delhi,26-35,299,Minimal KYC,2025-08-18
USR00037,Jatin Dugar,Bhopal,18-25,1324,Full KYC,2022-10-28
USR00038,Ronith Khalsa,Kolkata,36-45,1780,Full KYC,2021-07-29
USR00039,Faris Merchant,Ahmedabad,36-45,1755,Full KYC,2021-08-23
USR00040,Anjali Nazareth,Bangalore,36-45,749,Minimal KYC,2024-05-25
USR00041,Priya Das,Chennai,26-35,908,Minimal KYC,2023-12-18
USR00042,Sathvik Gola,Surat,36-45,246,Full KYC,2025-10-10
USR00043,Hamsini Maharaj,Lucknow,18-25,409,Full KYC,2025-04-30
USR00044,Amaira Dugar,Nagpur,26-35,1210,Minimal KYC,2023-02-19
USR00045,Mekhala Tella,Jaipur,26-35,94,Full KYC,2026-03-11
USR00046,Gagan Suresh,Bangalore,46-60,550,Minimal KYC,2024-12-10
USR00047,Chavvi Varghese,Kolkata,36-45,677,Full KYC,2024-08-05
USR00048,Ekta Purohit,Indore,60+,1192,Full KYC,2023-03-09
USR00049,Maanav Shankar,Hyderabad,36-45,421,Minimal KYC,2025-04-18
USR00050,Lohit Butala,Bhopal,18-25,318,Full KYC,2025-07-30
USR00051,Benjamin Sama,Hyderabad,18-25,1543,Full KYC,2022-03-23
USR00052,Niharika Loke,Kanpur,36-45,70,Non-KYC,2026-04-04
USR00053,Wishi Bains,Kolkata,36-45,230,Full KYC,2025-10-26
USR00054,Ekantika Tella,Delhi,26-35,959,Full KYC,2023-10-28
USR00055,Diya Doctor,Indore,60+,532,Full KYC,2024-12-28
USR00056,Imaran Sarraf,Indore,36-45,1781,Minimal KYC,2021-07-28
USR00057,Chakradhar Verma,Hyderabad,46-60,713,Full KYC,2024-06-30
USR00058,Faqid Setty,Kolkata,46-60,1600,Full KYC,2022-01-25
USR00059,Ekani Ratti,Bangalore,36-45,642,Non-KYC,2024-09-09
USR00060,Kamya Shroff,Bangalore,26-35,672,Minimal KYC,2024-08-10
USR00061,Tejas Keer,Lucknow,60+,1271,Full KYC,2022-12-20
USR00062,Arunima Golla,Jaipur,36-45,427,Full KYC,2025-04-12
USR00063,Jackson Bassi,Lucknow,60+,422,Minimal KYC,2025-04-17
USR00064,Tamanna Bajwa,Kolkata,60+,1607,Full KYC,2022-01-18
USR00065,Ayush Divan,Kolkata,36-45,1744,Full KYC,2021-09-03
USR00066,Bhavna Baral,Hyderabad,26-35,772,Full KYC,2024-05-02
USR00067,Ekiya Varghese,Jaipur,46-60,1050,Full KYC,2023-07-29
USR00068,Kamala Saxena,Delhi,18-25,1787,Full KYC,2021-07-22
USR00069,Omisha Butala,Bhopal,18-25,260,Full KYC,2025-09-26
USR00070,Nitara Bains,Bangalore,26-35,1224,Full KYC,2023-02-05
USR00071,Tanveer Palan,Kanpur,46-60,554,Full KYC,2024-12-06
USR00072,Utkarsh Arya,Nagpur,18-25,1752,Minimal KYC,2021-08-26
USR00073,Manan Chad,Kolkata,46-60,607,Full KYC,2024-10-14
USR00074,Tanay Purohit,Nagpur,46-60,1627,Full KYC,2021-12-29
USR00075,Wishi Sarna,Jaipur,36-45,675,Full KYC,2024-08-07
USR00076,Zaid Mane,Jaipur,18-25,1673,Full KYC,2021-11-13
USR00077,Onkar Dyal,Surat,18-25,1384,Full KYC,2022-08-29
USR00078,Ekbal Chaudhary,Surat,60+,1401,Full KYC,2022-08-12
USR00079,Nihal Chokshi,Kanpur,36-45,219,Full KYC,2025-11-06
USR00080,Zansi Bajwa,Kanpur,36-45,1430,Full KYC,2022-07-14
USR00081,Omisha Madan,Delhi,36-45,662,Minimal KYC,2024-08-20
USR00082,Aachal Rajagopal,Kolkata,26-35,1798,Full KYC,2021-07-11
USR00083,Frederick Mann,Ahmedabad,18-25,739,Full KYC,2024-06-04
USR00084,Jagvi Mahal,Lucknow,36-45,678,Full KYC,2024-08-04
USR00085,Yashoda Balakrishnan,Jaipur,26-35,1278,Full KYC,2022-12-13
USR00086,Siya Sagar,Jaipur,18-25,713,Full KYC,2024-06-30
USR00087,Yauvani Dass,Bhopal,36-45,1427,Full KYC,2022-07-17
USR00088,Krishna Sibal,Bhopal,60+,1525,Minimal KYC,2022-04-10
USR00089,Yashoda Padmanabhan,Nagpur,26-35,1166,Full KYC,2023-04-04
USR00090,Upkaar Sarin,Bangalore,36-45,471,Non-KYC,2025-02-27
USR00091,Vinaya Ghose,Kanpur,26-35,1563,Minimal KYC,2022-03-03
USR00092,Urmi Dhaliwal,Jaipur,60+,1440,Full KYC,2022-07-04
USR00093,Harrison Handa,Indore,18-25,1678,Non-KYC,2021-11-08
USR00094,Abhiram Issac,Nagpur,36-45,728,Full KYC,2024-06-15
USR00095,Akshay Chhabra,Ahmedabad,18-25,671,Full KYC,2024-08-11
USR00096,Bhavika More,Delhi,36-45,884,Full KYC,2024-01-11
USR00097,Avi Chakrabarti,Indore,36-45,1278,Full KYC,2022-12-13
USR00098,Jasmit Mangat,Hyderabad,18-25,1691,Full KYC,2021-10-26
USR00099,Balvan Apte,Hyderabad,60+,1737,Full KYC,2021-09-10
USR00100,Rohan Dhar,Delhi,18-25,1763,Full KYC,2021-08-15
USR00101,Madhav Sarraf,Lucknow,46-60,865,Full KYC,2024-01-30
USR00102,Anay Kashyap,Bhopal,18-25,1237,Full KYC,2023-01-23
USR00103,Nisha Munshi,Kanpur,60+,796,Minimal KYC,2024-04-08
USR00104,Janani Aurora,Kanpur,26-35,913,Non-KYC,2023-12-13
USR00105,Rudra Halder,Bangalore,46-60,1011,Full KYC,2023-09-06
USR00106,Jairaj Krishna,Jaipur,26-35,781,Minimal KYC,2024-04-23
USR00107,Zehaan Bajaj,Pune,60+,1254,Full KYC,2023-01-06
USR00108,Pratyush Gupta,Bhopal,60+,1379,Minimal KYC,2022-09-03
USR00109,Chaaya Jaggi,Kolkata,26-35,1824,Full KYC,2021-06-15
USR00110,Damini Vala,Indore,60+,984,Full KYC,2023-10-03
USR00111,Vihaan Mander,Kanpur,26-35,1399,Full KYC,2022-08-14
USR00112,Daniel Sem,Lucknow,36-45,176,Full KYC,2025-12-19
USR00113,Anmol Shah,Kolkata,36-45,1764,Full KYC,2021-08-14
USR00114,Damyanti Kumar,Ahmedabad,60+,958,Full KYC,2023-10-29
USR00115,Chatura Buch,Ahmedabad,18-25,580,Non-KYC,2024-11-10
USR00116,Ranbir Dugar,Hyderabad,26-35,670,Minimal KYC,2024-08-12
USR00117,Radha Goyal,Delhi,36-45,502,Full KYC,2025-01-27
USR00118,Gaurangi Parmer,Mumbai,60+,1468,Minimal KYC,2022-06-06
USR00119,Hamsini Yogi,Jaipur,26-35,1664,Full KYC,2021-11-22
USR00120,Vrinda Bhasin,Nagpur,26-35,173,Minimal KYC,2025-12-22
USR00121,Warhi Ramachandran,Mumbai,18-25,1046,Full KYC,2023-08-02
USR00122,Waida Basak,Lucknow,18-25,910,Full KYC,2023-12-16
USR00123,Qushi Lad,Hyderabad,18-25,1357,Non-KYC,2022-09-25
USR00124,Yochana Char,Indore,18-25,482,Non-KYC,2025-02-16
USR00125,Yatan Bassi,Bhopal,36-45,1044,Full KYC,2023-08-04
USR00126,Zashil Goel,Delhi,60+,1152,Minimal KYC,2023-04-18
USR00127,Umang Tara,Hyderabad,36-45,237,Minimal KYC,2025-10-19
USR00128,David Rastogi,Surat,46-60,181,Full KYC,2025-12-14
USR00129,Warhi Mani,Hyderabad,60+,1726,Full KYC,2021-09-21
USR00130,Baghyawati Gill,Bangalore,60+,616,Non-KYC,2024-10-05
USR00131,Aahana Uppal,Nagpur,46-60,1473,Minimal KYC,2022-06-01
USR00132,Anthony Dua,Hyderabad,46-60,283,Full KYC,2025-09-03
USR00133,Chandani Kaul,Kanpur,46-60,539,Non-KYC,2024-12-21
USR00134,Vanya Sabharwal,Hyderabad,18-25,182,Full KYC,2025-12-13
USR00135,Veda Dash,Delhi,46-60,907,Full KYC,2023-12-19
USR00136,Harish Dua,Chennai,46-60,851,Full KYC,2024-02-13
USR00137,Madhav Desai,Kolkata,46-60,986,Full KYC,2023-10-01
USR00138,Naveen Mahajan,Bhopal,18-25,190,Full KYC,2025-12-05
USR00139,Samaksh Mukherjee,Surat,18-25,427,Full KYC,2025-04-12
USR00140,Lakshmi Brar,Mumbai,46-60,1557,Full KYC,2022-03-09
USR00141,Bahadurjit Madan,Lucknow,36-45,1188,Minimal KYC,2023-03-13
USR00142,Krish Dar,Kanpur,18-25,669,Full KYC,2024-08-13
USR00143,Harshil Dutt,Hyderabad,26-35,489,Full KYC,2025-02-09
USR00144,Yoshita Minhas,Hyderabad,60+,499,Full KYC,2025-01-30
USR00145,Hredhaan Rastogi,Ahmedabad,26-35,779,Full KYC,2024-04-25
USR00146,Irya Sachdev,Kolkata,26-35,259,Full KYC,2025-09-27
USR00147,Ishita Mangal,Pune,46-60,467,Non-KYC,2025-03-03
USR00148,Mason Barad,Hyderabad,18-25,56,Minimal KYC,2026-04-18
USR00149,Dipta Goda,Ahmedabad,60+,827,Full KYC,2024-03-08
USR00150,Vinaya Rattan,Delhi,18-25,908,Full KYC,2023-12-18
USR00151,Warinder Nadkarni,Surat,60+,482,Full KYC,2025-02-16
USR00152,William Goel,Bhopal,18-25,845,Full KYC,2024-02-19
USR00153,Aadhya Kanda,Delhi,26-35,576,Minimal KYC,2024-11-14
USR00154,Edhitha Kota,Bangalore,46-60,1565,Full KYC,2022-03-01
USR00155,Osha Korpal,Ahmedabad,46-60,1273,Full KYC,2022-12-18
USR00156,Thomas Chaudhuri,Hyderabad,46-60,1099,Non-KYC,2023-06-10
USR00157,Jack Agate,Indore,18-25,128,Minimal KYC,2026-02-05
USR00158,Yagnesh Pandit,Bangalore,46-60,1090,Non-KYC,2023-06-19
USR00159,Gaurangi Anne,Mumbai,46-60,526,Full KYC,2025-01-03
USR00160,Ekalinga Nagy,Pune,46-60,636,Non-KYC,2024-09-15
USR00161,Chaaya Bora,Pune,46-60,1022,Full KYC,2023-08-26
USR00162,Yagnesh Dube,Lucknow,60+,282,Full KYC,2025-09-04
USR00163,Divya Tripathi,Surat,46-60,1214,Full KYC,2023-02-15
USR00164,Vritti Desai,Bangalore,26-35,157,Full KYC,2026-01-07
USR00165,Harish Sarkar,Pune,26-35,1788,Minimal KYC,2021-07-21
USR00166,Adya Natarajan,Mumbai,60+,1376,Full KYC,2022-09-06
USR00167,Arunima Basak,Lucknow,60+,655,Full KYC,2024-08-27
USR00168,Ekbal Sarma,Mumbai,36-45,883,Full KYC,2024-01-12
USR00169,Devika Banik,Mumbai,18-25,1692,Full KYC,2021-10-25
USR00170,Ishanvi Dugar,Nagpur,46-60,1439,Full KYC,2022-07-05
USR00171,Mugdha Kurian,Jaipur,60+,1157,Minimal KYC,2023-04-13
USR00172,Chatresh Kannan,Bangalore,18-25,275,Full KYC,2025-09-11
USR00173,Michael Varma,Jaipur,18-25,1530,Full KYC,2022-04-05
USR00174,Xiti Dayal,Bhopal,26-35,567,Minimal KYC,2024-11-23
USR00175,Anamika Lata,Delhi,60+,950,Full KYC,2023-11-06
USR00176,Aadi Kumar,Delhi,26-35,857,Full KYC,2024-02-07
USR00177,Wyatt Merchant,Kolkata,18-25,65,Minimal KYC,2026-04-09
USR00178,Jagdish Koshy,Indore,60+,350,Full KYC,2025-06-28
USR00179,Ayaan Chahal,Hyderabad,60+,429,Full KYC,2025-04-10
USR00180,Yashoda Varughese,Nagpur,18-25,500,Full KYC,2025-01-29
USR00181,Mohammed Varkey,Nagpur,18-25,1407,Full KYC,2022-08-06
USR00182,Yuvraj Saraf,Kolkata,60+,756,Minimal KYC,2024-05-18
USR00183,Ira Srinivasan,Nagpur,60+,80,Full KYC,2026-03-25
USR00184,Rachit Barad,Chennai,36-45,604,Non-KYC,2024-10-17
USR00185,Hiral Yogi,Hyderabad,36-45,179,Full KYC,2025-12-16
USR00186,Damyanti Mangat,Hyderabad,36-45,1395,Full KYC,2022-08-18
USR00187,Aachal Doctor,Kolkata,26-35,711,Minimal KYC,2024-07-02
USR00188,Nitesh Gole,Surat,36-45,1107,Full KYC,2023-06-02
USR00189,Priya Iyengar,Ahmedabad,36-45,642,Full KYC,2024-09-09
USR00190,Madhav Ghose,Indore,18-25,1106,Full KYC,2023-06-03
USR00191,Chatresh Nori,Mumbai,46-60,1673,Full KYC,2021-11-13
USR00192,Harini Sawhney,Nagpur,60+,1249,Minimal KYC,2023-01-11
USR00193,Yasti Sanghvi,Delhi,18-25,1021,Full KYC,2023-08-27
USR00194,Jai Bail,Jaipur,26-35,76,Minimal KYC,2026-03-29
USR00195,Fariq Prashad,Jaipur,36-45,965,Minimal KYC,2023-10-22
USR00196,Yashica Karnik,Bangalore,36-45,298,Non-KYC,2025-08-19
USR00197,Ekiya Kannan,Indore,18-25,1159,Full KYC,2023-04-11
USR00198,Barkha Dar,Indore,26-35,686,Full KYC,2024-07-27
USR00199,Balendra Sastry,Chennai,36-45,1657,Minimal KYC,2021-11-29
USR00200,Libni Narasimhan,Bangalore,46-60,1399,Full KYC,2022-08-14
USR00201,Isaac Kalla,Bhopal,60+,146,Full KYC,2026-01-18
USR00202,Radha Tiwari,Lucknow,36-45,1180,Minimal KYC,2023-03-21
